,x_rear_wheel_center,y_rear_wheel_center,x_BB,y_BB,x_front_wheel_center,y_front_wheel_center,x_head_tube_top,y_head_tube_top,x_rear_tube_connect_seat_tube,y_rear_tube_connect_seat_tube,x_top_tube_connect_seat_tube,y_top_tube_connect_seat_tube,x_top_tube_connect_head_tube,y_top_tube_connect_head_tube,x_down_tube_connect_head_tube,y_down_tube_connect_head_tube,x_stem_top,y_stem_top,x_front_fork,y_front_fork,x_saddle_top,y_saddle_top,x_seat_tube_top,y_seat_tube_top,Bike index,BikeStyle,Wheel diameter rear,Wheel diameter front,Teeth on chainring,bottle SEATTUBE0 show OHCLASS: True,bottle DOWNTUBE0 show OHCLASS: True,frame_size,RIM_STYLE front,RIM_STYLE rear,Fork type
0,346.70585261738944,344.5,769.2481606787721,277.50000000000006,1349.548160678772,344.5,1132.2989777578073,926.9224893282408,603.2394168393158,804.0124691080655,597.5529171140271,822.0477420804312,1161.0540439240042,832.8689058638507,1180.7345550117452,768.4968546394067,1251.404515954766,941.5468105368584,1294.8354864075488,448.98775556054807,592.2226565106065,1008.4840497630456,592.2226565106065,838.9531689054812,1,ROAD,689.0,689.0,53,0,0,M,spoked,spoked,0
1,310.00803032773524,305.5,655.1995138686927,320.00000000000006,1225.1995138686927,305.5,1012.5607648871078,830.0386262411286,584.5234622131057,531.2284528090929,576.6998434315472,554.61078461577,1030.4072022184544,776.7012473503994,1043.7274893520305,736.8911054948637,1050.4937110953558,842.7308124973322,1184.2172264797,410.6305705973722,571.1137799213434,631.6018689931966,571.1137799213434,571.3057686296428,2,DIRT_JUMP,611.0,611.0,28,0,0,XL,spoked,spoked,1
2,314.86786733238245,314.0,728.9807224438264,309.99999999999994,1384.3807224438265,314.0,1152.087253172161,917.0867557624448,595.7934526903828,774.4792082738946,584.6093395634301,813.4828459343797,1178.830712249688,834.7788520324186,1220.7238927318188,705.8449001426535,1228.1717744757727,941.8081153124406,1323.155839402358,455.5994068623772,574.0725284746728,1041.930905099368,574.0725284746728,850.2290731173352,3,POLO,628.0,628.0,36,0,0,XS,spoked,spoked,0
3,313.3196668109045,311.5,683.1517186829626,261.5,1235.9517186829626,311.5,1031.4318419913916,771.0279441572345,564.6994284202199,661.3882302033754,555.82373263129,691.3520770229339,1058.9592099916729,693.2930549545653,1073.2214389317776,653.0177628732151,1121.428415067167,770.2425559623808,1183.0707429000893,389.53639345009,552.5046601191582,835.5787297136462,552.5046601191582,702.5570780393687,4,ROAD,623.0,623.0,48,0,0,XS,spoked,spoked,0
4,333.2509836561744,335.0,766.1224931501488,310.99999999999994,1371.4224931501487,335.0,1154.7950450809226,873.5796323435707,690.2294361901709,551.7020249897208,684.1221786662496,571.071771209283,1179.095666560454,798.3434601854811,1191.6081816854155,759.6039677463565,1202.3747652748948,888.947463233561,1313.2871439722187,428.7211275009557,675.9107532988668,643.4321373623637,675.9107532988668,597.1150852244681,5,DIRT_JUMP,670.0,670.0,28,0,0,XL,spoked,spoked,1
5,242.5567396313364,243.0,554.4363658919748,226.00000000000009,1104.436365891975,243.0,1019.7358264613146,684.6641401891824,469.3195195953237,481.87067972350223,467.9649912308087,485.9425422091642,1027.8849292029386,635.4394009216588,1035.7683957829956,587.8192396313364,1069.064434541663,692.8304383012635,1095.9864328159108,303.4111084162018,455.00691925363753,556.8468114488458,455.00691925363753,524.8959436680163,6,BMX,486.0,486.0,28,0,0,XL,spoked,spoked,0
6,335.901788815561,335.0,758.949524993429,305.13697507207405,1454.849524993429,335.0,1174.381661212775,977.735050547522,615.1135606131912,748.7360980948574,606.9447885599983,773.9291027413869,1206.19650084476,892.4844187250553,1237.2939005783653,809.1562295532202,1254.9501551933663,1017.8438747349676,1401.7426783788237,417.6001809838944,593.9348280351043,1021.7555075826756,593.9348280351043,814.0526358526715,7,MTB,670.0,670.0,44,0,0,L,spoked,spoked,1
7,348.96731108615444,349.5,772.3191102587489,306.5,1452.6191102587488,349.5,1189.6123920220898,952.2795604042998,645.1284759276211,722.5218193486284,634.9971311088683,755.6599550778117,1211.5119198508808,892.1111021979785,1231.3775822441685,837.5306433499118,1297.2086281028085,975.1498463942532,1404.7537871431348,416.4181225565117,620.2858238029257,1025.0835232744987,620.2858238029257,803.7784731007786,8,MTB,699.0,699.0,42,0,0,XL,spoked,spoked,1
8,336.9269330092664,340.0,783.9569235860615,266.50000000000006,1384.5569235860617,340.0,1139.7843728263394,904.6641668732062,653.8074469287909,720.3851647529008,647.119028710792,743.7104510527992,1165.2220097951283,821.4614053857933,1193.4403118236503,729.1634983066259,1247.7633630055825,925.6531563646262,1301.252908208544,438.6072579291157,639.4126941956272,955.291396696321,639.4126941956272,770.5856333500544,9,TOURING,680.0,680.0,50,1,1,XS,spoked,spoked,0
10,374.4608807506054,375.0,843.37484987988,270.00000000000006,1437.0748498798798,375.0,1226.1498223843507,989.9842296419012,719.277350939271,733.1381711385776,706.6263504440686,780.3523477532518,1247.5899390130623,909.9686250633482,1260.1215904469889,863.1998652091897,1258.2892028686776,1028.28645179785,1371.3088003377088,473.86341914107305,697.9185465322632,1026.7195399807442,697.9185465322632,812.8503143744564,11,MTB,750.0,750.0,36,0,0,S,spoked,spoked,1
